LAT	LON	SPEED	COURSE	HEADING	ELAPSED	SHIPNAME	SHIPTYPE	SHIP_ID
41.53461	-59.60642	162	316	316	7	[SAT-AIS]	7	T0RjMU5ERTFPRGMxTkRFMU9EYzFOQT09LTIwVzlCanlZOC9aeTIvbWtoQitENlE9PQ==
21.54962	-154.7379	32	149	149	4	[SAT-AIS]	2	TXpJMk5EQTFNekkyTkRBMU16STJOQT09LWRoR0VJUXRtdjZUeDAxNmFGSDFJL2c9PQ==
59.74426	10.2579	0	134	335	2	NORJARL	7	145820
70.675	-52.12167	0			7	[SAT-AIS]	2	TWpRM05UYzNNalEzTlRjM01qUTNOUT09LWZoVTFjczRNd2FRdFFaUW50aHpIekE9PQ==
44.4803	-73.22369	0	129	129	3	CG49414	3	5152561
30.08862	-56.17825	118	256	256	6	[SAT-AIS]	8	TmpRd016YzVOalF3TXpjNU5qUXdNdz09LXU1UlhPeTlkYzlTM3g5S1FKZzEydFE9PQ==
46.0573	-85.9782				3	3669183	0	3485653
46.61678	-87.6161				3	3669798	0	3489592
11.18015	-89.61767	177	295	295	5	[SAT-AIS]	7	TlRNM01EazJOVE0zTURrMk5UTTNNQT09LUp5UTF4QVBHVytEV29ZNmVrZHJzTkE9PQ==
63.50143	-23.34208	183	286	287	14	BRUARFOSS	7	6006001
63.515	-23.44	180	285	285	5	[SAT-AIS]	7	TnpBME16TTJOekEwTXpNMk56QTBNdz09LTFnWjcxRVVZTjkwQWllVWlFbk5NQ3c9PQ==
59.1765	4.184	102	1	4	2	MARBAT	8	287931
40.6803	-124.9482	83	0	0	1	DORY	7	727933
60.43607	5.101168	0	75	133	5	HAVEN	3	124368
40.47	-69.12833	40	248	248	5	[SAT-AIS]	2	TXpBMk1UUTBNekEyTVRRME16QTJNUT09LVNEQnhGM2dWanJCUDUrTVpTRGtIZHc9PQ==
1.372872	-152.0041	139	281	281	4	[SAT-AIS]	8	TWpreU1qUXlNamt5TWpReU1qa3lNZz09LVEwam9OSkRQYUk3Rm9LSTZCS082S2c9PQ==
60.34353	-1.028743	0	205	231	4	SERENE	2	5601924
22.32764	-156.7187	217	36	37	1431	RJ PFEIFFER	7	5770383
29.46509	-150.7212	226	38	38	4	[SAT-AIS]	7	T0RFd05UY3hPREV3TlRjeE9ERXdOUT09LVpOT0NFeXVRQmlrNmQxN0k5MnpsZWc9PQ==
63.77704	-171.7153				8	[SAT-AIS]	1	T1RJeE1UazJPVEl4TVRrMk9USXhNUT09LWZVTmFMVlJmam4wVHlkNnNzLzM2amc9PQ==
38.63091	-31.45718	57	254	261	3	AINAZI	8	712161
41.42167	-162.106	130	99	99	7	[SAT-AIS]	8	TlRVNE16azROVFU0TXprNE5UVTRNdz09LXJGZDZ2K3dUandHbTJWNDhhTzRYVmc9PQ==
9.141962	-90.70222	153	100	100	3	[SAT-AIS]	8	TmpZME1EWTVOalkwTURZNU5qWTBNQT09LUs4VnRBSkdUZDVMaG9rSi9jOVZRbnc9PQ==
63.69265	-170.4922				8	[SAT-AIS]	1	TnpZM05ERXhOelkzTkRFeE56WTNOQT09LU5YWDV4c0JmOXhBZFErbEN2VThHNFE9PQ==
44.05695	-83.51218				2	3	1	3781060
44.10839	-83.49617				2	1	1	3781059
60.65728	-0.975325	112	320	312	1	BIGGA	6	3751588
68	-12.6				2	AtoN 992511945	0	6203187
50.45529	0.73939	120	72	72	1	DILAM	8	713037
29.30301	-24.91023	9	98	98	4	[SAT-AIS]	7	TnpFd016UTBOekV3TXpRME56RXdNdz09LTgrZTlXSjQ5UmxYTkROUTAyRTlYU2c9PQ==
61.15366	3.342035	125	359	356	2	BK ALICE	7	464604
-4.892097	-139.3614	111	126	126	5	[SAT-AIS]	7	TVRRNU1UQTFNVFE1TVRBMU1UUTVNUT09LWZ2N0txenFreHlQZXM3Vm5uSHFKalE9PQ==
40.20167	-44.33167	120	98	98	5	[SAT-AIS]	7	T0RVeE5EazVPRFV4TkRrNU9EVXhOQT09LTg4VGhvTmNQMzZSam45dnU5TkdyTUE9PQ==
-9.634334	6.692	143	342	342	4	[SAT-AIS]	7	TnpReU1UZ3lOelF5TVRneU56UXlNUT09LWprbThRQjFyMm9heEVUU3dTaXcrS2c9PQ==
36.91757	-12.7017	127	195	195	6	[SAT-AIS]	8	TWpFM05UWTRNakUzTlRZNE1qRTNOUT09LWJIVGw4cGhnVktibFdxU0V1dVJDWnc9PQ==
54.33	-152.7867	120	87	87	8	[SAT-AIS]	7	TWpRek16WXpNalF6TXpZek1qUXpNdz09LVgwcWZsZnE0bTdDRkw1NUtPZ3Z5RUE9PQ==
-1.432622	-99.9146	141	275	275	3	[SAT-AIS]	7	TVRNMU9UTTNNVE0xT1RNM01UTTFPUT09LVhYVFNIQXJSbzZnUHZKOEk0Z2xzeXc9PQ==
1.060395	3.593448	190	354	354	5	[SAT-AIS]	7	T1RjeE1qYzJPVGN4TWpjMk9UY3hNZz09LWRmakExTUlzT0lOcm14OVZlbno0eXc9PQ==
56.21095	-141.422	123	108	108	8	[SAT-AIS]	7	TlRreE9EYzNOVGt4T0RjM05Ua3hPQT09LUFudjV4cGRoYmU5T3E4WFBqVWplV1E9PQ==
35.80091	-133.1468	131	104	104	6	[SAT-AIS]	8	TnpFNE16STROekU0TXpJNE56RTRNdz09LXI5NUVqdkRUYzkrSDRxeC8wUzNhOWc9PQ==
57.66271	5.556072	100	179	179	1	KJERVAAGSUND	7	367635
64.42321	-37.19454	19	81	81	8	[SAT-AIS]	2	TmprNE1UQXdOams0TVRBd05qazRNUT09LXR6RUVWWDN2QkJXK0p3OW1lTFNlcXc9PQ==
11.48025	-54.04131	113	129	129	8	[SAT-AIS]	7	TVRZNU1UZ3hNVFk1TVRneE1UWTVNUT09LUQyR3I5R0g3dnVMQTBBWFYrRnYzbVE9PQ==
16.22286	-145.3005	91	94	94	6	[SAT-AIS]	8	TkRNMk56WXdORE0yTnpZd05ETTJOdz09LUtlZ2VSTXBKd2ZMTUhmN3RNZUw5REE9PQ==
41.35135	-57.95079	98	356	356	6	[SAT-AIS]	7	TnpjMk16TXhOemMyTXpNeE56YzJNdz09LW8yNFVQQVBUeDF2cXYrcHhZV1VacWc9PQ==
6.191473	-139.4818	103	293	293	4	[SAT-AIS]	7	T0RReU5UVTBPRFF5TlRVME9EUXlOUT09LWNldzFJb2JGUWh2dk91YzdPS0ZvdHc9PQ==
48.55341	-125.9424	67	276	278	1401	CYL	7	4452131
48.35629	-129.9921	61	264	264	5	[SAT-AIS]	7	T0RVek16RXlPRFV6TXpFeU9EVXpNdz09LXBDc1crMnNDWXhvcWdsK0VTdUVENWc9PQ==
10.07816	-79.52079	113	30	31	285	OSIOS DAVID	7	464921
10.61533	-79.22041	117	29	29	4	[SAT-AIS]	7	TWpJeE56UTBNakl4TnpRME1qSXhOdz09LVNURzFTek1sVWxYK1VGS2pYN0NyZEE9PQ==
56.54824	-171.4042	90	297	297	8	[SAT-AIS]	2	TnprME1ETTVOemswTURNNU56azBNQT09LUNTY3g3eHV1L0RldHRmeGNMcVVNeHc9PQ==
63.82197	-52.21819	123	168	168	1129	AVATAQ	2	5971573
62.28167	-50.9	120	145	145	5	[SAT-AIS]	2	T1RJNE5qWXdPVEk0TmpZd09USTROZz09LUtNSmE2ODdxZXB1cmJHYXhodTRSelE9PQ==
-9.505485	-127.801	46	95	95	4	[SAT-AIS]	2	TWpnMk56RTFNamcyTnpFMU1qZzJOdz09LVVDVzhSa0xmWlRqRXBsajU5S1NUb3c9PQ==
31.13011	-81.49254	0	120	161	2	ALENTEJO	7	733197
43.36045	-1.919015	4	158	153	2	QAMUTIK	7	381671
53.62384	5.271475	189	253	252	1	COSCO GEMINI	7	5379177
-4.409128	-113.2036	67	265	265	6	[SAT-AIS]	9	TmpVMU5qZzROalUxTmpnNE5qVTFOZz09LWVLa2VTNm5iZEhRU2hlenZ3dW1VZVE9PQ==
31.63903	-62.85264	128	81	81	5	[SAT-AIS]	8	TXpJek1UQTVNekl6TVRBNU16SXpNUT09LS9NcFk4amppT0NuRFVmNDFISEp2c3c9PQ==
37.33502	-123.9885	111	150	147	5	DUBLIN SEA	3	400829
37.33089	-123.9854	112	147	147	4	[SAT-AIS]	3	TVRBeE5qZzVNVEF4TmpnNU1UQXhOZz09LXFwL1NjaFY0S0ZuaUJyM2tsK0ZMd3c9PQ==
10.6	-99.96167	130	281	281	3	[SAT-AIS]	7	TlRReE16Y3dOVFF4TXpjd05UUXhNdz09LU81RngwNmhldFFidVQrd1Y5bTI5cEE9PQ==
26.50743	-83.87614	114	356	356	2	CS JOLA	7	4799344
15.79841	-150.1908	12	278	278	8	[SAT-AIS]	7	TnpZd05UQXpOell3TlRBek56WXdOUT09LWoyNDd1NVpEa0ZiMmxqbENOSzBOZ3c9PQ==
18.46833	-82.16666	120	133	133	5	[SAT-AIS]	8	TWprMk5USTRNamsyTlRJNE1qazJOUT09LXQyejN2V2k2N01VZUhQZndJZGdHT3c9PQ==
52.8295	-156.6182	207	110	110	8	[SAT-AIS]	7	TlRjNU16RXhOVGM1TXpFeE5UYzVNdz09LXV1eFprbXQvdklWRjFTZXNWVWZUQ1E9PQ==
46.37568	-53.55802	139	91	92	1	TRUDY	7	758333
53.63267	-5.380667	130	8	5	1	POHORJE	7	755286
51.50253	0.489105	1	82	80	5	MP THE EDELMAN	7	757463
25.755	-77.18143	209	90	89	2	MSC MADHU B	7	5272845
37.6142	-168.315	163	256	256	4	[SAT-AIS]	7	TWpRNE16UTBNalE0TXpRME1qUTRNdz09LUlLZ1BJVXZmQ2t1ZW1nL2ZoVWNNdWc9PQ==
