icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
"a32b7b","N303LK  ","United States",1614114964,1614114964,-122.9281,47.4473,670.56,false,33.44,337.38,-1.63,null,716.28,"1200",false,0
"a05cf0","UPS2972 ","United States",1614114822,1614114822,-120.9153,40.0293,10355.58,false,212.8,342.27,0.65,null,10462.26,"6734",false,0
"3922ed","TAY4635 ","France",1614114964,1614114964,13.0097,52.291,3794.76,false,174.57,275.07,18.21,null,null,"1000",false,0
"a57e89","N453PC  ","United States",1614114964,1614114964,-96.5887,33.1213,838.2,false,83.34,180.35,5.53,null,845.82,"0536",false,0
"a93b01","EJA694  ","United States",1614114964,1614114964,-74.9907,40.407,12192,false,203.11,227.05,-0.33,null,11993.88,"3564",false,0
"451dad","","Bulgaria",null,1614114942,null,null,null,false,8.23,87.19,null,null,null,null,false,0
"a6b174","N530LN  ","United States",1614114683,1614114683,-85.6638,38.0981,502.92,false,63.01,188.92,-1.63,null,480.06,null,false,0
"a05cf3","AAL323  ","United States",1614114964,1614114964,-96.994,33.1699,1539.24,false,89.44,203.03,-0.33,null,1546.86,"0574",false,0
"abaff6","N852ND  ","United States",1614114962,1614114964,-71.1805,42.5763,670.56,false,45.23,199.26,0.98,null,495.3,null,false,0
"c81cf1","MSY407  ","New Zealand",1614114963,1614114964,175.6393,-40.3198,60.96,false,35.5,270.83,-1.95,null,137.16,"5571",false,0
"4ca5c3","AZA52J  ","Ireland",1614114964,1614114964,9.869,42.1294,8839.2,false,215.85,183.01,0,null,9189.72,"7451",false,0
"a1498a","N182QT  ","United States",1614114963,1614114963,-121.0902,38.6274,701.04,false,68.49,214.29,-0.33,null,746.76,null,false,0
"a45e8a","N3806X  ","United States",1614114961,1614114963,-82.5517,33.3209,3657.6,false,102.11,167.78,0,null,3741.42,"6023",false,0
"4b191c","SWR177  ","Switzerland",1614114964,1614114964,74.7597,27.3205,10363.2,false,220.87,296.86,0,null,10843.26,null,false,0
"4b191f","SWR154  ","Switzerland",1614114964,1614114964,11.7349,47.0716,10668,false,249.74,113.56,0,null,10972.8,"3031",false,0
"a96851","NDU705  ","United States",1614114924,1614114927,-111.6376,33.2982,502.92,false,36.03,279.87,-3.25,null,495.3,null,false,0
"a895b0","PDT6147 ","United States",1614114961,1614114964,-81.2743,35.521,2164.08,false,120.1,83.61,-2.93,null,2148.84,"6677",false,0
"a04716","N117KA  ","United States",1614114941,1614114942,-98.1181,28.1222,3169.92,false,89.75,344.37,0.33,null,3284.22,null,false,0
"a2ffc2","N29230  ","United States",1614114964,1614114964,-104.2037,38.6239,2712.72,false,55.22,303.99,1.63,null,2644.14,null,false,0
"a68b35","N520ZH  ","United States",1614114963,1614114964,-117.4992,33.8429,853.44,false,49.31,249.86,-3.9,null,845.82,"1200",false,0
"abec26","SWA456  ","United States",1614114889,1614114894,-96.8542,32.8549,160.02,false,70.57,135.59,-0.33,null,129.54,"1340",false,0
"a61f05","ASA614  ","United States",1614114962,1614114963,-121.6493,39.6193,4572,false,190.74,176.29,-9.75,null,4686.3,"6604",false,0
"a04718","N117KC  ","United States",1614114877,1614114879,-94.5819,39.1496,411.48,false,44.17,255.15,-2.93,null,335.28,null,false,0
"a35c0c","N3152K  ","United States",1614114958,1614114958,-70.7425,42.7295,937.26,false,30.82,284.5,0.65,null,777.24,null,false,0
